terms,pos,type,count
!,Punctuation,2005,2
!,Punctuation,2006,1
!,Punctuation,2007,1
!,Punctuation,2008,3
!,Punctuation,2009,5
!,Punctuation,2012,3
!,Punctuation,2013,3
!,Punctuation,2014,4
!,Punctuation,2015,5
!,Punctuation,2016,4
!,Punctuation,2017,4
!,Punctuation,2018,3
!,Punctuation,2019,3
!,Punctuation,2020,3
',Punctuation,2005,4
',Punctuation,2015,3
'(,Punctuation,2015,1
(,Punctuation,2005,1
(,Punctuation,2008,1
(,Punctuation,2009,1
(,Punctuation,2010,1
(,Punctuation,2012,3
(,Punctuation,2013,2
(,Punctuation,2014,6
(,Punctuation,2015,3
(,Punctuation,2016,4
(,Punctuation,2017,5
),Punctuation,2005,1
),Punctuation,2009,1
),Punctuation,2010,1
),Punctuation,2012,2
),Punctuation,2013,2
),Punctuation,2014,6
),Punctuation,2015,4
),Punctuation,2016,4
),Punctuation,2017,3
)’,Punctuation,2008,1
)’,Punctuation,2012,1
)’,Punctuation,2014,1
)’,Punctuation,2017,2
",",Punctuation,2005,19
",",Punctuation,2006,15
",",Punctuation,2007,54
",",Punctuation,2008,42
",",Punctuation,2009,57
",",Punctuation,2010,11
",",Punctuation,2011,27
",",Punctuation,2012,35
",",Punctuation,2013,37
",",Punctuation,2014,58
",",Punctuation,2015,34
",",Punctuation,2016,44
",",Punctuation,2017,36
",",Punctuation,2018,42
",",Punctuation,2019,26
",",Punctuation,2020,34
-,Punctuation,2017,1
.,Punctuation,2005,46
.,Punctuation,2006,46
.,Punctuation,2007,56
.,Punctuation,2008,47
.,Punctuation,2009,73
.,Punctuation,2010,35
.,Punctuation,2011,29
.,Punctuation,2012,63
.,Punctuation,2013,47
.,Punctuation,2014,54
.,Punctuation,2015,64
.,Punctuation,2016,65
.,Punctuation,2017,74
.,Punctuation,2018,41
.,Punctuation,2019,39
.,Punctuation,2020,35
.(,Punctuation,2014,1
.’,Punctuation,2017,1
10,Number,2015,1
10년,Number,2014,1
10월,Number,2018,1
12,Number,2009,1
12,Number,2019,1
120년,Number,2014,1
12월,Number,2012,1
12월,Number,2018,2
17,Number,2005,1
17,Number,2007,2
18,Number,2005,1
18,Number,2008,2
18,Number,2009,1
183,Number,2012,1
19,Number,2009,1
1949년,Number,2019,1
1년,Number,2009,1
1년,Number,2013,1
1조,Number,2012,1
20,Number,2016,1
2000,Number,2006,3
2004년,Number,2005,2
2005년,Number,2005,2
2006년,Number,2006,4
2007년,Number,2007,2
2008년,Number,2008,3
2009년,Number,2009,2
2012년,Number,2012,1
2013년,Number,2013,1
