terms,pos,type,count
!,Punctuation,김수남,4
!,Punctuation,김종빈,4
!,Punctuation,김진태,4
!,Punctuation,송광수,2
!,Punctuation,임채진,4
!,Punctuation,정상명,3
!,Punctuation,채동욱,4
!,Punctuation,한상대,5
"""",Punctuation,김수남,3
"""(",Punctuation,김수남,2
',Punctuation,김수남,4
',Punctuation,정상명,14
'''',Punctuation,정상명,1
(,Punctuation,김수남,1
(,Punctuation,임채진,2
(,Punctuation,정상명,1
(,Punctuation,채동욱,6
),Punctuation,김수남,4
),Punctuation,임채진,2
),Punctuation,정상명,1
),Punctuation,채동욱,3
"),",Punctuation,채동욱,3
",",Punctuation,김수남,35
",",Punctuation,김종빈,16
",",Punctuation,김준규,19
",",Punctuation,김진태,13
",",Punctuation,문무일,27
",",Punctuation,송광수,23
",",Punctuation,임채진,24
",",Punctuation,정상명,40
",",Punctuation,채동욱,42
",",Punctuation,한상대,28
.,Punctuation,김수남,49
.,Punctuation,김종빈,46
.,Punctuation,김준규,32
.,Punctuation,김진태,16
.,Punctuation,문무일,23
.,Punctuation,송광수,53
.,Punctuation,임채진,39
.,Punctuation,정상명,41
.,Punctuation,채동욱,36
.,Punctuation,한상대,37
".""(",Punctuation,김수남,1
.'''',Punctuation,정상명,1
..,Punctuation,김준규,5
...,Punctuation,김준규,1
.’,Punctuation,김준규,1
100,Number,정상명,1
10년,Number,문무일,1
11일,Number,한상대,1
12일,Number,김종빈,1
17,Number,송광수,1
1년,Number,임채진,1
25년,Number,채동욱,1
27년,Number,김준규,1
27년,Number,임채진,2
28년,Number,김종빈,1
2년,Number,김준규,1
2년,Number,김진태,1
2년,Number,송광수,2
2년,Number,정상명,2
3,Number,한상대,1
30,Number,김진태,1
30년,Number,김수남,1
30년,Number,정상명,1
30년,Number,한상대,1
39년,Number,채동욱,1
3년,Number,김수남,1
4월,Number,채동욱,1
5년,Number,문무일,1
8월,Number,한상대,1
?,Punctuation,김종빈,1
?,Punctuation,송광수,3
?,Punctuation,정상명,1
CJ,Alpha,한상대,1
COELUM,Alpha,김수남,1
FBI,Alpha,한상대,1
FIAT,Alpha,김수남,1
JUSTITIA,Alpha,김수남,1
RUAT,Alpha,김수남,1
`,Punctuation,김종빈,2
‘,Foreign,김종빈,1
‘,Foreign,김준규,1
‘,Foreign,문무일,3
‘,Foreign,송광수,12
‘,Foreign,채동욱,4
’,Punctuation,김종빈,1
’,Punctuation,문무일,3
’,Punctuation,송광수,10
’,Punctuation,채동욱,4
“,Foreign,김진태,1
“,Foreign,송광수,1
“,Foreign,채동욱,1
”,Foreign,김진태,1
”,Foreign,송광수,1
”,Foreign,채동욱,1
․,Foreign,정상명,1
……,Punctuation,김진태,2
不失爲君子,Foreign,김수남,1
公,Foreign,채동욱,1
則流而入於忍人,Foreign,김수남,1
故仁可過也,Foreign,김수남,1
根,Foreign,채동욱,1
正道,Foreign,송광수,1
歸,Foreign,채동욱,1
瓜田不納履,Foreign,김수남,1
知止不殆,Foreign,임채진,1
知足不辱,Foreign,임채진,1
義不可過也,Foreign,김수남,1
萬古,Foreign,송광수,1
葉,Foreign,채동욱,1
蘇東坡,Foreign,김수남,1
過乎仁,Foreign,김수남,1
過乎義,Foreign,김수남,1
過猶不及,Foreign,임채진,1
邪道,Foreign,송광수,1
雪,Foreign,정상명,1
가,Josa,김수남,7
가,Josa,김종빈,15
가,Josa,김준규,3
가,Josa,김진태,4
가,Josa,문무일,10
가,Josa,송광수,5
가,Josa,임채진,11
가,Josa,정상명,2
가,Josa,채동욱,5
가,Josa,한상대,2
가기,Noun,김준규,1
가까운,Adjective,김종빈,1
가까이,Noun,김종빈,1
가까이,Noun,송광수,1
가는,Verb,김진태,5
가는,Verb,한상대,1
가능하도록,Adjective,채동욱,1
가능하였습니다,Adjective,송광수,1
가능한,Adjective,문무일,1
가능한,Adjective,한상대,1
가다듬어,Verb,정상명,1
가득하기를,Adjective,한상대,1
가라앉고,Verb,임채진,1
가려지거나,Verb,김수남,1
가리라,Verb,임채진,1
가리우고,Verb,김준규,1
가리지,Verb,임채진,1
가슴,Noun,김수남,2
가슴,Noun,김종빈,2
가슴,Noun,김진태,1
가슴,Noun,정상명,1
가슴,Noun,채동욱,1
가슴,Noun,한상대,1
가슴속,Noun,김종빈,1
가시,Noun,송광수,1
가식,Noun,김준규,1
가야,Noun,김종빈,2
가야,Noun,김준규,1
가야,Noun,송광수,1
가운데,Noun,김준규,1
가운데,Noun,문무일,1
가장,Noun,김종빈,2
가장,Noun,정상명,1
가장,Noun,채동욱,2
가장,Noun,한상대,1
가정,Noun,한상대,1
가져라,Verb,송광수,1
가져야,Verb,문무일,1
가졌고,Verb,채동욱,1
가졌던,Verb,송광수,1
가족,Noun,김수남,4
가족,Noun,김종빈,8
가족,Noun,김준규,1
가족,Noun,김진태,4
가족,Noun,문무일,1
가족,Noun,송광수,2
가족,Noun,임채진,5
가족,Noun,정상명,3
가족,Noun,채동욱,9
가족,Noun,한상대,5
가지,Noun,김수남,1
가지,Noun,김준규,1
가지,Noun,문무일,1
가지,Noun,임채진,2
가지,Noun,정상명,1
가지,Noun,채동욱,1
가질,Verb,정상명,1
가짜,Noun,김준규,1
가치,Noun,문무일,4
가치,Noun,채동욱,1
가혹하기까지,Adjective,김준규,1
각계,Noun,김수남,1
각계,Noun,임채진,1
각오,Noun,김수남,1
