terms,pos,type,count
!,Punctuation,김수남,3
!,Punctuation,김종빈,1
!,Punctuation,김진태,4
!,Punctuation,문무일,2
!,Punctuation,윤석열,2
!,Punctuation,임채진,2
!,Punctuation,채동욱,5
!,Punctuation,한상대,3
"""",Punctuation,김수남,4
"""",Punctuation,문무일,2
',Punctuation,문무일,6
',Punctuation,윤석열,7
(,Punctuation,김수남,4
(,Punctuation,김종빈,2
(,Punctuation,김진태,1
(,Punctuation,채동욱,6
),Punctuation,김수남,2
),Punctuation,김종빈,2
),Punctuation,김진태,1
),Punctuation,채동욱,7
).,Punctuation,김수남,1
")’,",Punctuation,김수남,1
",",Punctuation,김수남,60
",",Punctuation,김종빈,28
",",Punctuation,김준규,29
",",Punctuation,김진태,56
",",Punctuation,문무일,30
",",Punctuation,윤석열,27
",",Punctuation,임채진,45
",",Punctuation,정상명,17
",",Punctuation,채동욱,47
",",Punctuation,한상대,28
",’",Punctuation,김준규,1
.,Punctuation,김수남,76
.,Punctuation,김종빈,62
.,Punctuation,김준규,46
.,Punctuation,김진태,67
.,Punctuation,문무일,44
.,Punctuation,윤석열,37
.,Punctuation,임채진,63
.,Punctuation,정상명,66
.,Punctuation,채동욱,70
.,Punctuation,한상대,62
.',Punctuation,윤석열,1
.(,Punctuation,채동욱,1
1,Number,김수남,2
10,Number,한상대,1
100달러,Number,김수남,1
10년,Number,정상명,1
12,Number,정상명,1
14년,Number,임채진,1
15년,Number,정상명,1
16,Number,정상명,1
19년,Number,김수남,1
1만,Number,채동욱,1
1조,Number,윤석열,1
20,Number,김수남,1
20년,Number,정상명,1
21,Number,정상명,1
22,Number,한상대,1
25년,Number,김준규,1
2년,Number,김수남,1
2년,Number,김준규,1
2년,Number,윤석열,1
3,Number,한상대,1
30년,Number,정상명,1
400년,Number,채동욱,1
40년,Number,정상명,1
4월,Number,김수남,1
50,Number,김수남,1
60,Number,한상대,1
60년,Number,김준규,1
6시,Number,정상명,1
8,Number,김수남,1
8,Number,김진태,1
<,Punctuation,임채진,1
>,Punctuation,임채진,1
?,Punctuation,김종빈,1
?,Punctuation,한상대,1
OECD,Alpha,한상대,1
The,Alpha,채동욱,1
best,Alpha,채동욱,2
follower,Alpha,채동욱,1
is,Alpha,채동욱,1
leader,Alpha,채동욱,1
the,Alpha,채동욱,1
·,Punctuation,김수남,9
·,Punctuation,윤석열,2
‘,Foreign,김수남,9
‘,Foreign,김종빈,6
‘,Foreign,김준규,3
‘,Foreign,김진태,15
‘,Foreign,임채진,3
‘,Foreign,정상명,18
‘,Foreign,채동욱,14
’,Punctuation,김수남,7
’,Punctuation,김종빈,6
’,Punctuation,김준규,1
’,Punctuation,김진태,13
’,Punctuation,임채진,3
’,Punctuation,정상명,18
’,Punctuation,채동욱,14
"’,",Punctuation,김수남,1
"’,",Punctuation,김준규,1
"’,",Punctuation,김진태,2
“,Foreign,김수남,15
“,Foreign,김진태,2
“,Foreign,채동욱,2
”,Foreign,김수남,15
”,Foreign,김진태,2
”,Foreign,채동욱,2
․,Foreign,김종빈,1
『,Foreign,김종빈,1
』,Foreign,김종빈,1
ㆍ,Foreign,김진태,2
ㆍ,Foreign,문무일,1
一夫當逕,Foreign,채동욱,1
下意上達,Foreign,채동욱,1
仰不愧於天,Foreign,김수남,1
俯不怍於人,Foreign,김수남,1
公,Foreign,채동욱,2
公私,Foreign,김진태,1
則國弱,Foreign,김수남,1
則國强,Foreign,김수남,1
前,Foreign,채동욱,1
國無常强,Foreign,김수남,1
奉法者弱,Foreign,김수남,1
奉法者强,Foreign,김수남,1
威而不猛,Foreign,김수남,1
安逸,Foreign,김종빈,1
敵,Foreign,김종빈,1
法不阿貴,Foreign,김수남,1
泰而不驕,Foreign,김수남,1
無常弱,Foreign,김수남,1
艦船,Foreign,채동욱,1
苦難,Foreign,김종빈,1
足懼千夫,Foreign,채동욱,1
가,Josa,김수남,17
가,Josa,김종빈,8
가,Josa,김준규,10
가,Josa,김진태,12
가,Josa,문무일,2
가,Josa,윤석열,7
가,Josa,임채진,11
가,Josa,정상명,14
가,Josa,채동욱,13
가,Josa,한상대,13
가,Verb,김준규,1
가,Verb,채동욱,1
가고자,Verb,임채진,1
가까이,Noun,김종빈,1
가까이,Noun,문무일,1
가는,Verb,문무일,1
가는,Verb,정상명,1
가는,Verb,채동욱,1
가는,Verb,한상대,2
가능,Noun,김진태,1
가능성,Noun,한상대,1
가능하도록,Adjective,채동욱,1
가능하지는,Adjective,김종빈,1
가능한,Adjective,채동욱,1
가다듬게,Verb,정상명,1
가다듬어야,Verb,김수남,1
가다듬어야,Verb,임채진,1
가득하기를,Adjective,김종빈,1
가려내야,Verb,김진태,1
가로막는,Verb,김수남,1
가르침,Noun,김수남,1
가보지,Verb,정상명,1
가슴,Noun,윤석열,1
가슴,Noun,정상명,3
가야,Noun,김종빈,2
가운데,Noun,김준규,1
가운데,Noun,김진태,1
가운데,Noun,문무일,1
가의,Noun,윤석열,1
가장,Noun,김수남,1
가장,Noun,김종빈,1
가장,Noun,김진태,2
가장,Noun,문무일,1
가장,Noun,윤석열,1
가장,Noun,임채진,1
가장,Noun,정상명,1
가장,Noun,채동욱,5
가장,Noun,한상대,1
가정,Noun,김수남,1
가정,Noun,김종빈,1
가정,Noun,임채진,1
가정폭력,Noun,김수남,1
가져야,Verb,문무일,1
가져야,Verb,채동욱,2
가져줄,Verb,채동욱,1
가족,Noun,김수남,4
가족,Noun,김종빈,4
가족,Noun,김준규,1
가족,Noun,김진태,7
가족,Noun,문무일,2
가족,Noun,윤석열,3
가족,Noun,임채진,1
가족,Noun,정상명,6
가족,Noun,채동욱,6
가족,Noun,한상대,2
가지,Noun,김수남,2
가지,Noun,김종빈,2
가지,Noun,문무일,1
가지,Noun,임채진,1
가지,Noun,정상명,4
가지,Noun,채동욱,1
가지기,Verb,김준규,1
가진,Verb,임채진,1
가진,Verb,정상명,3
가진,Verb,한상대,1
가질,Verb,김준규,1
가질,Verb,문무일,1
가치,Noun,김수남,1
가치,Noun,문무일,3
가치,Noun,윤석열,3
가치,Noun,정상명,1
가치,Noun,채동욱,1
가치,Noun,한상대,1
각계,Noun,채동욱,1
각고,Noun,김종빈,1
각박하지,Adjective,문무일,1
각별,Noun,채동욱,1
각오,Noun,김종빈,1
각오,Noun,김진태,2
각오,Noun,문무일,1
각오,Noun,임채진,2
각오,Noun,정상명,1
