terms,pos,type,count
!,Punctuation,2004,2
!,Punctuation,2005,3
!,Punctuation,2006,3
!,Punctuation,2007,3
!,Punctuation,2008,2
!,Punctuation,2009,3
!,Punctuation,2010,2
!,Punctuation,2011,3
!,Punctuation,2012,2
!,Punctuation,2013,2
!,Punctuation,2014,3
!,Punctuation,2015,3
!,Punctuation,2016,3
!,Punctuation,2017,3
!,Punctuation,2018,3
!,Punctuation,2019,3
"""",Punctuation,2008,4
"""",Punctuation,2012,2
"""",Punctuation,2017,2
',Punctuation,2005,4
',Punctuation,2006,12
',Punctuation,2008,8
',Punctuation,2012,3
',Punctuation,2017,4
',Punctuation,2019,2
'',Punctuation,2008,4
(,Punctuation,2005,19
(,Punctuation,2007,2
(,Punctuation,2008,3
(,Punctuation,2009,1
(,Punctuation,2010,3
(,Punctuation,2011,1
(,Punctuation,2012,3
(,Punctuation,2013,5
(,Punctuation,2014,3
(,Punctuation,2015,2
(,Punctuation,2017,1
(,Punctuation,2018,2
),Punctuation,2005,15
),Punctuation,2007,3
),Punctuation,2008,3
),Punctuation,2009,1
),Punctuation,2010,3
),Punctuation,2011,1
),Punctuation,2012,2
),Punctuation,2013,4
),Punctuation,2014,3
),Punctuation,2015,1
),Punctuation,2017,1
),Punctuation,2018,2
)',Punctuation,2005,4
)',Punctuation,2012,1
)’,Punctuation,2013,1
)’,Punctuation,2015,1
",",Punctuation,2004,36
",",Punctuation,2005,23
",",Punctuation,2006,23
",",Punctuation,2007,32
",",Punctuation,2008,23
",",Punctuation,2009,10
",",Punctuation,2010,11
",",Punctuation,2011,29
",",Punctuation,2012,27
",",Punctuation,2013,28
",",Punctuation,2014,40
",",Punctuation,2015,51
",",Punctuation,2016,38
",",Punctuation,2017,37
",",Punctuation,2018,20
",",Punctuation,2019,41
.,Punctuation,2004,44
.,Punctuation,2005,41
.,Punctuation,2006,36
.,Punctuation,2007,65
.,Punctuation,2008,48
.,Punctuation,2009,55
.,Punctuation,2010,27
.,Punctuation,2011,51
