terms,pos,type,count
!,Punctuation,권재진,1
!,Punctuation,김경한,3
!,Punctuation,김성호,3
!,Punctuation,김승규,3
!,Punctuation,김현웅,2
!,Punctuation,박상기,6
!,Punctuation,이귀남,3
!,Punctuation,조국,3
!,Punctuation,황교안,2
"""",Punctuation,조국,3
""",",Punctuation,조국,1
',Punctuation,이귀남,1
',Punctuation,조국,6
',Punctuation,황교안,6
(,Punctuation,김성호,3
(,Punctuation,김현웅,2
(,Punctuation,박상기,1
(,Punctuation,이귀남,1
(,Punctuation,정성진,4
(,Punctuation,천정배,3
(,Punctuation,황교안,1
),Punctuation,김성호,2
),Punctuation,박상기,1
),Punctuation,정성진,6
),Punctuation,천정배,3
),Punctuation,황교안,1
")!’,",Punctuation,김현웅,1
)',Punctuation,이귀남,1
).,Punctuation,김성호,1
)’,Punctuation,김현웅,1
",",Punctuation,강금실,18
",",Punctuation,권재진,8
",",Punctuation,김경한,22
",",Punctuation,김성호,26
",",Punctuation,김승규,18
",",Punctuation,김현웅,19
",",Punctuation,박상기,23
",",Punctuation,이귀남,2
",",Punctuation,정성진,7
",",Punctuation,조국,11
",",Punctuation,천정배,21
",",Punctuation,황교안,39
.,Punctuation,강금실,43
.,Punctuation,권재진,15
.,Punctuation,김경한,80
.,Punctuation,김성호,63
.,Punctuation,김승규,37
.,Punctuation,김현웅,20
.,Punctuation,박상기,30
.,Punctuation,이귀남,15
.,Punctuation,정성진,12
.,Punctuation,조국,37
.,Punctuation,천정배,59
.,Punctuation,황교안,52
......(,Punctuation,정성진,2
100일,Number,김경한,1
10월,Number,조국,1
11,Number,김승규,1
11,Number,조국,1
11일,Number,황교안,1
1990년,Number,김현웅,1
1년,Number,강금실,2
1년,Number,권재진,1
1년,Number,김경한,2
1년,Number,김성호,3
1년,Number,김승규,1
1년,Number,김현웅,1
1년,Number,천정배,3
2,Number,김경한,3
2,Number,황교안,1
20,Number,이귀남,1
2009년,Number,이귀남,1
2013년,Number,황교안,1
24년,Number,김성호,1
27년,Number,김현웅,1
28년,Number,김성호,1
29,Number,김경한,1
2년,Number,박상기,2
2년,Number,이귀남,1
2년,Number,조국,1
2년,Number,황교안,1
2월,Number,천정배,1
3,Number,황교안,1
30,Number,김성호,1
30년,Number,김성호,1
32년,Number,김경한,2
3월,Number,황교안,1
4,Number,황교안,1
5,Number,강금실,1
5,Number,김현웅,1
5월,Number,김경한,1
7,Number,김경한,2
70,Number,황교안,1
7조,Number,김성호,1
8,Number,김성호,1
8일,Number,조국,1
9월,Number,이귀남,1
?,Punctuation,강금실,4
Prophet,Alpha,이귀남,1
The,Alpha,이귀남,1
clean,Alpha,천정배,1
fair,Alpha,천정배,1
safe,Alpha,천정배,1
·,Punctuation,김승규,8
·,Punctuation,김현웅,7
·,Punctuation,박상기,9
·,Punctuation,이귀남,4
·,Punctuation,조국,2
·,Punctuation,천정배,2
·,Punctuation,황교안,3
‘,Foreign,김경한,7
‘,Foreign,김성호,4
‘,Foreign,김승규,2
‘,Foreign,김현웅,3
