terms,pos,type,count
!,Punctuation,권재진,4
!,Punctuation,김경한,2
!,Punctuation,김성호,3
!,Punctuation,김승규,3
!,Punctuation,김현웅,4
!,Punctuation,박상기,4
!,Punctuation,이귀남,1
!,Punctuation,조국,5
!,Punctuation,천정배,2
!,Punctuation,추미애,4
!,Punctuation,황교안,4
',Punctuation,박상기,8
',Punctuation,정성진,1
(,Punctuation,권재진,1
(,Punctuation,김경한,1
(,Punctuation,김성호,5
(,Punctuation,김현웅,1
(,Punctuation,박상기,3
(,Punctuation,이귀남,1
(,Punctuation,정성진,7
(,Punctuation,천정배,4
(,Punctuation,추미애,3
(,Punctuation,황교안,2
),Punctuation,김경한,1
),Punctuation,김성호,5
),Punctuation,박상기,2
),Punctuation,정성진,7
),Punctuation,천정배,4
),Punctuation,추미애,3
),Punctuation,황교안,1
"),",Punctuation,이귀남,1
)’,Punctuation,권재진,1
)’,Punctuation,박상기,1
")’,",Punctuation,김현웅,1
")’,",Punctuation,황교안,1
",",Punctuation,강금실,28
",",Punctuation,권재진,28
",",Punctuation,김경한,28
",",Punctuation,김성호,65
",",Punctuation,김승규,42
",",Punctuation,김현웅,33
",",Punctuation,박상기,55
",",Punctuation,이귀남,14
",",Punctuation,정성진,24
",",Punctuation,조국,40
",",Punctuation,천정배,24
",",Punctuation,추미애,25
",",Punctuation,황교안,35
.,Punctuation,강금실,42
.,Punctuation,권재진,60
.,Punctuation,김경한,57
.,Punctuation,김성호,78
.,Punctuation,김승규,33
.,Punctuation,김현웅,48
.,Punctuation,박상기,67
.,Punctuation,이귀남,49
.,Punctuation,정성진,37
.,Punctuation,조국,38
.,Punctuation,천정배,39
.,Punctuation,추미애,50
.,Punctuation,황교안,48
1,Number,김승규,1
10,Number,김경한,1
10,Number,이귀남,1
10,Number,추미애,1
100만,Number,정성진,1
11월,Number,이귀남,1
12월,Number,정성진,1
15년,Number,정성진,1
17,Number,김승규,1
180,Number,김경한,1
1년,Number,김승규,1
1년,Number,황교안,1
2,Number,김현웅,1
2,Number,이귀남,1
20,Number,권재진,1
20,Number,이귀남,1
20,Number,조국,1
2년,Number,권재진,1
2년,Number,김성호,1
2시,Number,강금실,1
3,Number,추미애,2
4,Number,김현웅,1
43,Number,김경한,1
4월,Number,김경한,2
4천만,Number,강금실,1
6,Number,황교안,1
6년,Number,김경한,1
7,Number,김성호,1
70,Number,김현웅,1
8,Number,박상기,1
80일,Number,추미애,1
9월,Number,김경한,1
9월,Number,정성진,1
9일,Number,김경한,1
Auden,Alpha,정성진,1
Clean,Alpha,천정배,1
FTA,Alpha,정성진,1
Firm,Alpha,천정배,1
G,Alpha,권재진,1
G,Alpha,이귀남,1
H,Alpha,정성진,1
Just,Alpha,천정배,1
Law,Alpha,천정배,1
Noblesse,Alpha,김성호,1
OECD,Alpha,추미애,1
Oblige,Alpha,김성호,1
Passion,Alpha,김성호,1
People,Alpha,김성호,1
Principle,Alpha,김성호,1
Safe,Alpha,천정배,1
TI,Alpha,김경한,1
W,Alpha,정성진,1
·,Punctuation,권재진,2
·,Punctuation,김현웅,3
·,Punctuation,박상기,8
·,Punctuation,이귀남,1
·,Punctuation,정성진,7
·,Punctuation,조국,3
·,Punctuation,천정배,3
·,Punctuation,추미애,2
‘,Foreign,권재진,6
‘,Foreign,김경한,10
‘,Foreign,김성호,3
‘,Foreign,김현웅,3
‘,Foreign,박상기,3
‘,Foreign,이귀남,2
‘,Foreign,정성진,5
‘,Foreign,조국,6
‘,Foreign,천정배,3
‘,Foreign,추미애,16
‘,Foreign,황교안,4
‘公正,Foreign,권재진,1
‘歲寒然後,Foreign,황교안,1
’,Punctuation,권재진,6
’,Punctuation,김경한,10
’,Punctuation,김성호,3
’,Punctuation,김현웅,2
’,Punctuation,박상기,2
’,Punctuation,이귀남,1
’,Punctuation,정성진,6
’,Punctuation,조국,5
’,Punctuation,천정배,3
’,Punctuation,추미애,15
’,Punctuation,황교안,4
"’,",Punctuation,조국,1
"’,",Punctuation,추미애,1
“,Foreign,강금실,4
“,Foreign,김성호,6
“,Foreign,김현웅,1
”,Foreign,강금실,4
”,Foreign,김성호,6
”,Foreign,김현웅,1
․,Foreign,권재진,2
․,Foreign,김경한,12
․,Foreign,김성호,14
․,Foreign,김승규,10
․,Foreign,이귀남,3
․,Foreign,황교안,6
‧,Foreign,추미애,1
公平無私,Foreign,정성진,1
啐啄同時,Foreign,추미애,1
庚子年,Foreign,추미애,1
掘井九軔而不及泉,Foreign,박상기,1
換骨奪胎,Foreign,박상기,1
整合,Foreign,정성진,1
易地思之,Foreign,김성호,1
有爲者譬若掘井,Foreign,박상기,1
木梗之患,Foreign,박상기,1
正道,Foreign,정성진,1
民無信不立,Foreign,김현웅,1
法治,Foreign,권재진,1
猶爲棄井也,Foreign,박상기,1
知松柏之後彫也,Foreign,황교안,1
精緻,Foreign,정성진,1
脫,Foreign,추미애,1
裨民補世,Foreign,이귀남,1
辯,Foreign,정성진,1
隨處作主,Foreign,권재진,1
가,Josa,강금실,15
가,Josa,권재진,10
가,Josa,김경한,18
가,Josa,김성호,17
가,Josa,김승규,6
가,Josa,김현웅,9
가,Josa,박상기,10
가,Josa,이귀남,16
가,Josa,정성진,11
가,Josa,조국,14
가,Josa,천정배,13
가,Josa,추미애,8
가,Josa,황교안,16
가,Verb,김경한,3
가,Verb,추미애,1
가겠습니다,Verb,조국,1
가겠습니다,Verb,추미애,1
가고,Verb,권재진,1
가고,Verb,김경한,1
가고자,Verb,추미애,2
가급적,Adverb,김승규,1
가기,Noun,강금실,1
가기,Noun,박상기,1
가까우므로,Adjective,정성진,1
가까운,Adjective,정성진,1
가꾸어,Verb,박상기,1
가끔,Noun,정성진,1
가는,Verb,강금실,2
가는,Verb,김경한,1
가는,Verb,김성호,1
가는,Verb,김현웅,1
가는,Verb,박상기,1
가는,Verb,조국,1
가능성,Noun,김성호,1
가능하게,Adjective,박상기,1
가능하도록,Adjective,천정배,1
가능한,Adjective,김현웅,1
가능해진,Adjective,김현웅,1
가다듬는,Verb,김승규,1
가득,Noun,강금실,1
가득하기를,Adjective,김성호,1
가득하기를,Adjective,김현웅,1
가득하기를,Adjective,이귀남,1
가득하기를,Adjective,조국,1
가득하기를,Adjective,천정배,1
가득하길,Adjective,황교안,1
가로막,Noun,김현웅,1
가르침,Noun,황교안,1
가리키는,Verb,박상기,1
가마,Noun,김성호,4
가면,Noun,황교안,1
가볍게,Adjective,박상기,1
가슴,Noun,강금실,2
가슴,Noun,김승규,1
가슴,Noun,황교안,2
가야,Noun,김승규,1
가야,Noun,황교안,1
가운데,Noun,김경한,1
가운데,Noun,정성진,1
가장,Noun,강금실,2
가장,Noun,권재진,2
가장,Noun,김경한,5
가장,Noun,김성호,1
가장,Noun,김현웅,1
가장,Noun,정성진,1
가장,Noun,추미애,2
가정,Noun,권재진,1
가정,Noun,김경한,1
가정,Noun,김성호,1
가정,Noun,김승규,1
가정,Noun,김현웅,1
가정,Noun,이귀남,1
가정,Noun,조국,1
가정,Noun,천정배,1
가정,Noun,황교안,1
가져,Verb,김경한,1
가져,Verb,황교안,1
가져야,Verb,황교안,1
가져왔는지,Verb,박상기,1
가족,Noun,권재진,3
가족,Noun,김경한,3
가족,Noun,김성호,5
가족,Noun,김승규,3
가족,Noun,김현웅,5
가족,Noun,박상기,5
가족,Noun,이귀남,2
가족,Noun,정성진,2
가족,Noun,조국,6
가족,Noun,천정배,2
가족,Noun,추미애,7
가족,Noun,황교안,5
가중,Noun,이귀남,1
가지,Noun,강금실,1
가지,Noun,권재진,1
가지,Noun,김경한,1
가지,Noun,김성호,2
가지,Noun,김승규,3
가지,Noun,박상기,1
가지,Noun,이귀남,2
가지,Noun,정성진,4
가지,Noun,조국,2
가지,Noun,천정배,2
가지,Noun,추미애,2
가지,Noun,황교안,3
가지도록,Verb,김현웅,1
가진,Verb,조국,1
가집니다,Verb,정성진,1
가치,Noun,권재진,1
가치,Noun,김경한,2
가치,Noun,김성호,1
가치,Noun,김현웅,2
가치,Noun,박상기,3
가치,Noun,이귀남,1
가치,Noun,정성진,1
가치,Noun,추미애,1
가치,Noun,황교안,1
각,Noun,강금실,1
각,Noun,이귀남,1
각,Noun,조국,1
각계,Noun,김승규,1
각계,Noun,박상기,1
각별,Noun,정성진,1
각별,Noun,추미애,2
각오,Noun,강금실,4
각오,Noun,김성호,1
각오,Noun,김승규,1
각오,Noun,박상기,1
각오,Noun,이귀남,2
각오,Noun,추미애,1
각오,Noun,황교안,1
각의,Noun,김경한,1
각인,Noun,황교안,1
각자,Noun,강금실,2
각자,Noun,김경한,1
각자,Noun,박상기,3
각자,Noun,조국,1
각자,Noun,추미애,2
각자,Noun,황교안,4
각종,Noun,권재진,1
각종,Noun,김경한,2
각종,Noun,김승규,1
각종,Noun,정성진,1
각지,Noun,김경한,1
각지,Noun,김성호,1
각하,Noun,김성호,1
각하,Noun,천정배,1
간,Noun,권재진,1
간,Noun,박상기,1
간,Suffix,김경한,2
간,Suffix,김성호,1
간곡히,Adverb,강금실,1
간곡히,Adverb,김성호,1
간극,Noun,황교안,1
간의,Noun,박상기,1
간절히,Adjective,김승규,1
간직,Noun,박상기,1
간호사,Noun,김현웅,2
갈,Verb,추미애,1
갈,Verb,황교안,1
갈고,Noun,황교안,1
갈등,Noun,권재진,2
갈등,Noun,김경한,2
갈등,Noun,박상기,2
갈등,Noun,황교안,1
갈림길,Noun,김현웅,1
갈취,Noun,이귀남,1
감,Noun,김경한,1
감,Noun,이귀남,1
감,Noun,황교안,1
감독,Noun,김현웅,1
감독,Noun,박상기,1
감독,Noun,조국,1
감사,Noun,강금실,1
감사,Noun,권재진,1
감사,Noun,김경한,2
감사,Noun,김성호,1
감사,Noun,김승규,1
감사,Noun,김현웅,1
감사,Noun,박상기,2
감사,Noun,이귀남,1
감사,Noun,정성진,1
감사,Noun,조국,1
감사,Noun,천정배,1
감사,Noun,추미애,2
감사,Noun,황교안,1
감사한,Verb,정성진,1
감사합니다,Verb,권재진,1
감사합니다,Verb,김경한,1
감사합니다,Verb,김성호,1
감사합니다,Verb,김승규,1
감사합니다,Verb,김현웅,1
감사합니다,Verb,박상기,1
감사합니다,Verb,이귀남,1
감사합니다,Verb,정성진,1
감사합니다,Verb,천정배,1
감사합니다,Verb,추미애,1
감사합니다,Verb,황교안,1
감상,Noun,정성진,1
감수,Noun,김성호,1
감아,Verb,박상기,1
감찰,Noun,권재진,2
감찰,Noun,김성호,1
감찰,Noun,정성진,2
감찰,Noun,천정배,1
감회,Noun,정성진,1
감회,Noun,황교안,1
감히,Noun,김경한,1
갑시다,Verb,박상기,2
갑시다,Verb,이귀남,1
강,Noun,김성호,1
강,Noun,이귀남,1
강,Noun,황교안,2
강구,Noun,이귀남,1
강국,Noun,추미애,1
강금실,Noun,김승규,1
강도,Noun,이귀남,1
강력,Noun,권재진,1
강력,Noun,김승규,1
강력범죄,Noun,권재진,1
강력범죄,Noun,김현웅,1
강력범죄,Noun,박상기,1
강력범죄,Noun,황교안,1
강력하게,Adjective,천정배,1
강조,Noun,김성호,1
강조,Noun,김승규,1
강조,Noun,천정배,1
강조,Noun,추미애,1
강한,Adjective,조국,2
강한,Adjective,추미애,1
강화,Noun,김승규,1
강화,Noun,정성진,7
강화하고,Adjective,김경한,1
강화하고,Adjective,박상기,1
강화하는,Adjective,정성진,1
강화하여,Adjective,김현웅,1
강화해야,Adjective,황교안,1
갖가지,Noun,김경한,1
갖고,Verb,권재진,1
갖고,Verb,이귀남,1
갖고,Verb,조국,1
갖고,Verb,추미애,1
